id,statcode,statnaam,jrstatcode,rubriek,id_2,LEVL_CODE,NUTS_ID,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,freq,sex,unit,age,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019
cbs_gemeente_2020_labelpoint.48,GM0184,Urk,2020GM0184,gemeente,NL230,"3",NL230,NL,Flevoland,Flevoland,"4","1","2",NL230,A,T,NR,TOTAL,NL230,"399893 ","401791 ","404068 ","407818 ","411670 ","416546 "
cbs_gemeente_2020_labelpoint.49,GM0189,Wierden,2020GM0189,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.50,GM0193,Zwolle,2020GM0193,gemeente,NL211,"3",NL211,NL,Noord-Overijssel,Noord-Overijssel,"4","2","3",NL211,A,T,NR,TOTAL,NL211,"360744 ","361694 ","364300 ","366319 ","368819 ","371608 "
cbs_gemeente_2020_labelpoint.51,GM0197,Aalten,2020GM0197,gemeente,NL225,"3",NL225,NL,Achterhoek,Achterhoek,"4","2","3",NL225,A,T,NR,TOTAL,NL225,"399707 ","398772 ","399260 ","399921 ","400416 ","400685 "
cbs_gemeente_2020_labelpoint.52,GM0200,Apeldoorn,2020GM0200,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.53,GM0202,Arnhem,2020GM0202,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.54,GM0203,Barneveld,2020GM0203,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.55,GM0209,Beuningen,2020GM0209,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.56,GM0213,Brummen,2020GM0213,gemeente,NL225,"3",NL225,NL,Achterhoek,Achterhoek,"4","2","3",NL225,A,T,NR,TOTAL,NL225,"399707 ","398772 ","399260 ","399921 ","400416 ","400685 "
cbs_gemeente_2020_labelpoint.57,GM0214,Buren,2020GM0214,gemeente,NL224,"3",NL224,NL,Zuidwest-Gelderland,Zuidwest-Gelderland,"4","2","3",NL224,A,T,NR,TOTAL,NL224,"237076 ","237548 ","238305 ","239890 ","241244 ","244052 "
cbs_gemeente_2020_labelpoint.58,GM0216,Culemborg,2020GM0216,gemeente,NL224,"3",NL224,NL,Zuidwest-Gelderland,Zuidwest-Gelderland,"4","2","3",NL224,A,T,NR,TOTAL,NL224,"237076 ","237548 ","238305 ","239890 ","241244 ","244052 "
cbs_gemeente_2020_labelpoint.59,GM0221,Doesburg,2020GM0221,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
